"","lng","lat","confirmed","deaths","recovered"
"398",81,7,1,0,0
"399",9,51,5,0,0
"400",26,64,1,0,0
"401",54,24,4,0,0
"402",122,13,1,0,0
"403",78,21,1,0,0
"404",12,43,2,0,0
"405",16,63,1,0,0
"406",-85.3232,51.2538,3,0,0
"407",112.2707,30.9756,5806,204,141
"408",128,36,11,0,0
"409",2.2137,46.2276,5,0,0
"410",113.4244,23.3417,436,0,11
"411",113.614,33.882,352,2,3
"412",120.0934,29.1832,538,0,14
"413",111.7088,27.6104,332,0,2
"414",117.2264,31.8257,237,0,3
"415",115.7221,27.614,240,0,7
"416",118.1498,36.3427,184,0,2
"417",119.455,32.9711,168,0,5
"418",107.874,30.0572,211,0,1
"419",102.7103,30.6171,177,1,1
"420",127.7615,47.862,59,2,0
"421",116.4142,40.1824,139,1,5
"422",121.4491,31.202,135,1,9
"423",116.1306,39.549,82,1,0
"424",117.9874,26.0789,120,0,0
"425",108.7881,23.8298,87,0,2
"426",108.8701,35.1917,87,0,0
"427",101.487,24.974,83,0,1
"428",109.7453,19.1959,52,1,1
"429",106.8748,26.8154,29,0,2
"430",117.323,39.3054,32,0,0
"431",112.2922,37.5777,39,0,1
"432",101.0583,37.8099,29,0,0
"433",114.2,22.3,12,0,0
"434",122.6085,41.2956,48,0,1
"435",126.1923,43.6661,14,0,1
"436",85.2401,41.1129,17,0,0
"437",113.9448,44.0935,20,0,1
"438",106.1655,37.2692,21,0,0
"439",121,23.7,10,0,0
"440",108,16,2,0,0
"441",90,60,2,0,0
"442",95.9956,35.7452,8,0,0
"443",113.55,22.1667,7,0,0
"444",88.0924,31.6927,1,0,0
"445",-3.436,55.3781,2,0,0
"446",101,15,19,0,5
"447",138,36,20,0,1
"448",103.8333,1.2833,16,0,0
"449",84.25,28.1667,1,0,0
"450",112.5,2.5,8,0,0
"451",-123.1207,49.2827,1,0,0
"452",151.2093,-33.8688,4,0,2
"453",144.9631,-37.8136,4,0,0
"454",153.4,-28.0167,3,0,0
"455",104.9167,11.55,1,0,0
"456",81,7,1,0,0
"457",9,51,8,0,0
"458",26,64,1,0,0
"459",54,24,4,0,0
"460",122,13,1,0,0
"461",78,21,1,0,0
"462",12,43,2,0,0
"463",16,63,1,0,0
"464",-4,40,1,0,0
"465",138.6007,-34.9285,1,0,0
"466",-85.3232,51.2538,3,0,0
"467",112.2707,30.9756,7153,249,168
"468",128,36,12,0,0
"469",2.2137,46.2276,6,0,0
"470",113.4244,23.3417,535,0,14
"471",113.614,33.882,422,2,3
"472",120.0934,29.1832,599,0,21
"473",111.7088,27.6104,389,0,8
"474",117.2264,31.8257,297,0,5
"475",115.7221,27.614,286,0,9
"476",118.1498,36.3427,206,0,3
"477",119.455,32.9711,202,0,6
"478",107.874,30.0572,247,1,3
"479",102.7103,30.6171,207,1,3
"480",127.7615,47.862,80,2,2
"481",116.4142,40.1824,168,1,9
"482",121.4491,31.202,169,1,10
"483",116.1306,39.549,96,1,0
"484",117.9874,26.0789,144,0,0
"485",108.7881,23.8298,100,0,2
"486",108.8701,35.1917,101,0,0
"487",101.487,24.974,93,0,2
"488",109.7453,19.1959,62,1,1
"489",106.8748,26.8154,29,0,2
"490",117.323,39.3054,41,0,0
"491",112.2922,37.5777,47,0,1
"492",101.0583,37.8099,40,0,0
"493",114.2,22.3,13,0,0
"494",122.6085,41.2956,64,0,1
"495",126.1923,43.6661,17,0,1
"496",85.2401,41.1129,18,0,0
"497",113.9448,44.0935,23,0,1
"498",106.1655,37.2692,26,0,0
"499",121,23.7,10,0,0
"500",108,16,6,0,1
"501",90,60,2,0,0
"502",95.9956,35.7452,9,0,0
"503",113.55,22.1667,7,0,0
"504",88.0924,31.6927,1,0,0
"505",-3.436,55.3781,2,0,0
"506",101,15,19,0,5
"507",138,36,20,0,1
"508",103.8333,1.2833,18,0,0
"509",84.25,28.1667,1,0,0
"510",112.5,2.5,8,0,0
"511",-123.1207,49.2827,1,0,0
"512",151.2093,-33.8688,4,0,2
"513",144.9631,-37.8136,4,0,0
"514",153.4,-28.0167,2,0,0
"515",104.9167,11.55,1,0,0
"516",81,7,1,0,0
"517",9,51,10,0,0
"518",26,64,1,0,0
"519",54,24,5,0,0
"520",122,13,2,1,0
"521",78,21,2,0,0
"522",12,43,2,0,0
"523",16,63,1,0,0
"524",-4,40,1,0,0
"525",138.6007,-34.9285,2,0,0
"526",-85.3232,51.2538,3,0,0
"527",112.2707,30.9756,11177,350,295
"528",128,36,15,0,0
"529",2.2137,46.2276,6,0,0
"530",113.4244,23.3417,632,0,15
"531",113.614,33.882,493,2,10
"532",120.0934,29.1832,661,0,32
"533",111.7088,27.6104,463,0,16
"534",117.2264,31.8257,340,0,7
"535",115.7221,27.614,333,0,12
"536",118.1498,36.3427,230,0,6
"537",119.455,32.9711,236,0,7
"538",107.874,30.0572,300,2,7
"539",102.7103,30.6171,231,1,11
"540",127.7615,47.862,95,2,2
"541",116.4142,40.1824,191,1,9
"542",121.4491,31.202,182,1,10
"543",116.1306,39.549,104,1,3
"544",117.9874,26.0789,159,0,0
"545",108.7881,23.8298,111,0,2
"546",108.8701,35.1917,116,0,0
"547",101.487,24.974,105,0,3
"548",109.7453,19.1959,64,1,4
"549",106.8748,26.8154,38,0,2
"550",117.323,39.3054,48,0,1
"551",112.2922,37.5777,66,0,3
"552",101.0583,37.8099,51,0,3
"553",114.2,22.3,15,0,0
"554",122.6085,41.2956,70,0,1
"555",126.1923,43.6661,23,0,1
"556",85.2401,41.1129,21,0,0
"557",113.9448,44.0935,27,0,1
"558",106.1655,37.2692,28,0,0
"559",121,23.7,10,0,0
"560",108,16,6,0,1
"561",90,60,2,0,0
"562",95.9956,35.7452,11,0,0
"563",113.55,22.1667,8,0,0
"564",88.0924,31.6927,1,0,0
"565",-3.436,55.3781,2,0,0
"566",101,15,19,0,5
"567",138,36,20,0,1
"568",103.8333,1.2833,18,0,0
"569",84.25,28.1667,1,0,0
"570",112.5,2.5,8,0,0
"571",-123.1207,49.2827,1,0,0
"572",151.2093,-33.8688,4,0,2
"573",144.9631,-37.8136,4,0,0
"574",153.4,-28.0167,2,0,0
"575",104.9167,11.55,1,0,0
"576",81,7,1,0,0
"577",9,51,12,0,0
"578",26,64,1,0,0
"579",54,24,5,0,0
"580",122,13,2,1,0
"581",78,21,3,0,0
"582",12,43,2,0,0
"583",16,63,1,0,0
"584",-4,40,1,0,0
"585",138.6007,-34.9285,2,0,0
"586",-85.3232,51.2538,3,0,0
"587",112.2707,30.9756,13522,414,386
"588",128,36,15,0,0
"589",2.2137,46.2276,6,0,0
"590",113.4244,23.3417,725,0,21
"591",113.614,33.882,566,2,16
"592",120.0934,29.1832,724,0,43
"593",111.7088,27.6104,521,0,22
"594",117.2264,31.8257,408,0,14
"595",115.7221,27.614,391,0,18
"596",118.1498,36.3427,259,0,7
"597",119.455,32.9711,271,0,8
"598",107.874,30.0572,337,2,9
"599",102.7103,30.6171,254,1,14
"600",127.7615,47.862,121,2,2
"601",116.4142,40.1824,212,1,12
"602",121.4491,31.202,203,1,10
"603",116.1306,39.549,113,1,3
"604",117.9874,26.0789,179,0,1
"605",108.7881,23.8298,127,0,7
"606",108.8701,35.1917,128,0,0
"607",101.487,24.974,117,0,5
"608",109.7453,19.1959,72,1,4
"609",106.8748,26.8154,46,0,2
"610",117.323,39.3054,60,0,1
"611",112.2922,37.5777,74,0,2
"612",101.0583,37.8099,55,0,3
"613",114.2,22.3,15,0,0
"614",122.6085,41.2956,74,0,1
"615",126.1923,43.6661,31,0,1
"616",85.2401,41.1129,24,0,0
"617",113.9448,44.0935,34,0,1
"618",106.1655,37.2692,31,0,1
"619",121,23.7,10,0,0
"620",108,16,8,0,1
"621",90,60,2,0,0
"622",95.9956,35.7452,13,0,0
"623",113.55,22.1667,8,0,0
"624",88.0924,31.6927,1,0,0
"625",-3.436,55.3781,2,0,0
"626",101,15,25,0,5
"627",138,36,22,0,1
"628",103.8333,1.2833,24,0,0
"629",84.25,28.1667,1,0,0
"630",112.5,2.5,10,0,0
"631",-123.1207,49.2827,1,0,0
"632",151.2093,-33.8688,4,0,2
"633",144.9631,-37.8136,4,0,0
"634",153.4,-28.0167,3,0,0
"635",104.9167,11.55,1,0,0
"636",81,7,1,0,0
"637",9,51,12,0,0
"638",26,64,1,0,0
"639",54,24,5,0,0
"640",122,13,2,1,0
"641",78,21,3,0,0
"642",12,43,2,0,0
"643",16,63,1,0,0
"644",-4,40,1,0,0
"645",138.6007,-34.9285,2,0,0
"646",4,50.8333,1,0,0
"647",-85.3232,51.2538,3,0,0
"648",112.2707,30.9756,16678,479,522
"649",128,36,16,0,0
"650",2.2137,46.2276,6,0,0
"651",113.4244,23.3417,813,0,30
"652",113.614,33.882,675,2,27
"653",120.0934,29.1832,829,0,62
"654",111.7088,27.6104,593,0,31
"655",117.2264,31.8257,480,0,20
"656",115.7221,27.614,476,0,20
"657",118.1498,36.3427,275,0,11
"658",119.455,32.9711,308,0,12
"659",107.874,30.0572,366,2,9
"660",102.7103,30.6171,282,1,14
"661",127.7615,47.862,155,2,4
"662",116.4142,40.1824,228,1,23
"663",121.4491,31.202,219,1,12
"664",116.1306,39.549,126,1,4
"665",117.9874,26.0789,194,0,3
"666",108.7881,23.8298,139,0,10
"667",108.8701,35.1917,142,0,2
"668",101.487,24.974,122,0,5
"669",109.7453,19.1959,80,1,5
"670",106.8748,26.8154,58,0,2
"671",117.323,39.3054,67,0,2
"672",112.2922,37.5777,81,0,4
"673",101.0583,37.8099,57,0,4
"674",114.2,22.3,17,1,0
"675",122.6085,41.2956,81,0,2
"676",126.1923,43.6661,42,0,1
"677",85.2401,41.1129,29,0,0
"678",113.9448,44.0935,35,0,1
"679",106.1655,37.2692,34,0,1
"680",121,23.7,11,0,0
"681",108,16,8,0,1
"682",90,60,2,0,0
"683",95.9956,35.7452,15,0,0
"684",113.55,22.1667,10,0,0
"685",88.0924,31.6927,1,0,0
"686",-3.436,55.3781,2,0,0
"687",101,15,25,0,5
"688",138,36,22,0,1
"689",103.8333,1.2833,28,0,0
"690",84.25,28.1667,1,0,0
"691",112.5,2.5,12,0,0
"692",-123.1207,49.2827,2,0,0
"693",151.2093,-33.8688,4,0,2
"694",144.9631,-37.8136,4,0,0
"695",153.4,-28.0167,3,0,0
"696",104.9167,11.55,1,0,0
"697",81,7,1,0,0
"698",9,51,12,0,0
"699",26,64,1,0,0
"700",54,24,5,0,0
"701",122,13,2,1,0
"702",78,21,3,0,0
"703",12,43,2,0,0
"704",16,63,1,0,0
"705",-4,40,1,0,0
"706",138.6007,-34.9285,2,0,0
"707",4,50.8333,1,0,0
"708",-85.3232,51.2538,3,0,0
"709",112.2707,30.9756,19665,549,633
"710",128,36,19,0,0
"711",2.2137,46.2276,6,0,0
"712",113.4244,23.3417,895,0,49
"713",113.614,33.882,764,2,47
"714",120.0934,29.1832,895,0,78
"715",111.7088,27.6104,661,0,54
"716",117.2264,31.8257,530,0,23
"717",115.7221,27.614,548,0,27
"718",118.1498,36.3427,307,0,15
"719",119.455,32.9711,341,0,23
"720",107.874,30.0572,389,2,15
"721",102.7103,30.6171,301,1,24
"722",127.7615,47.862,190,2,7
"723",116.4142,40.1824,253,1,24
"724",121.4491,31.202,243,1,15
"725",116.1306,39.549,135,1,6
"726",117.9874,26.0789,205,0,11
"727",108.7881,23.8298,150,0,13
"728",108.8701,35.1917,165,0,6
"729",101.487,24.974,128,0,5
"730",109.7453,19.1959,99,1,5
"731",106.8748,26.8154,64,1,9
"732",117.323,39.3054,69,1,2
"733",112.2922,37.5777,81,0,5
"734",101.0583,37.8099,62,0,6
"735",114.2,22.3,21,1,0
"736",122.6085,41.2956,89,0,4
"737",126.1923,43.6661,54,0,2
"738",85.2401,41.1129,32,0,0
"739",113.9448,44.0935,42,0,3
"740",106.1655,37.2692,34,0,1
"741",121,23.7,11,0,0
"742",108,16,8,0,1
"743",90,60,2,0,0
"744",95.9956,35.7452,17,0,3
"745",113.55,22.1667,10,0,0
"746",88.0924,31.6927,1,0,0
"747",-3.436,55.3781,2,0,0
"748",101,15,25,0,5
"749",138,36,45,0,1
"750",103.8333,1.2833,28,0,0
"751",84.25,28.1667,1,0,0
"752",112.5,2.5,12,0,0
"753",-123.1207,49.2827,2,0,0
"754",151.2093,-33.8688,4,0,2
"755",144.9631,-37.8136,4,0,0
"756",153.4,-28.0167,4,0,0
"757",104.9167,11.55,1,0,0
"758",81,7,1,0,0
"759",9,51,12,0,0
"760",26,64,1,0,0
"761",54,24,5,0,0
"762",122,13,2,1,0
"763",78,21,3,0,0
"764",12,43,2,0,0
"765",16,63,1,0,0
"766",-4,40,1,0,0
"767",138.6007,-34.9285,2,0,0
"768",4,50.8333,1,0,0
"769",-85.3232,51.2538,3,0,0
"770",112.2707,30.9756,22112,618,817
"771",128,36,23,0,0
"772",2.2137,46.2276,6,0,0
"773",113.4244,23.3417,970,0,69
"774",113.614,33.882,851,2,56
"775",120.0934,29.1832,954,0,94
"776",111.7088,27.6104,711,0,81
"777",117.2264,31.8257,591,0,34
"778",115.7221,27.614,600,0,37
"779",118.1498,36.3427,347,0,27
"780",119.455,32.9711,373,0,34
"781",107.874,30.0572,411,2,24
"782",102.7103,30.6171,321,1,31
"783",127.7615,47.862,227,3,8
"784",116.4142,40.1824,274,1,31
"785",121.4491,31.202,257,1,25
"786",116.1306,39.549,157,1,13
"787",117.9874,26.0789,215,0,14
"788",108.7881,23.8298,168,0,14
"789",108.8701,35.1917,173,0,9
"790",101.487,24.974,133,0,7
"791",109.7453,19.1959,106,1,8
"792",106.8748,26.8154,71,1,6
