"","lng","lat"
"95",122.6085,41.2956
"96",126.1923,43.6661
"97",85.2401,41.1129
"98",113.9448,44.0935
"99",106.1655,37.2692
"100",121,23.7
"101",108,16
"102",113.55,22.1667
"103",101,15
"104",138,36
"105",103.8333,1.2833
"106",84.25,28.1667
"107",112.5,2.5
"108",112.2707,30.9756
"109",128,36
"110",2.2137,46.2276
"111",113.4244,23.3417
"112",113.614,33.882
"113",120.0934,29.1832
"114",111.7088,27.6104
"115",117.2264,31.8257
"116",115.7221,27.614
"117",118.1498,36.3427
"118",119.455,32.9711
"119",107.874,30.0572
"120",102.7103,30.6171
"121",127.7615,47.862
"122",116.4142,40.1824
"123",121.4491,31.202
"124",116.1306,39.549
"125",117.9874,26.0789
"126",108.7881,23.8298
"127",108.8701,35.1917
"128",101.487,24.974
"129",109.7453,19.1959
"130",106.8748,26.8154
"131",117.323,39.3054
"132",112.2922,37.5777
"133",101.0583,37.8099
"134",114.2,22.3
"135",122.6085,41.2956
"136",126.1923,43.6661
"137",85.2401,41.1129
"138",113.9448,44.0935
"139",106.1655,37.2692
"140",121,23.7
"141",108,16
"142",95.9956,35.7452
"143",113.55,22.1667
"144",101,15
"145",138,36
"146",103.8333,1.2833
"147",84.25,28.1667
"148",112.5,2.5
"149",151.2093,-33.8688
"150",144.9631,-37.8136
"151",-85.3232,51.2538
"152",112.2707,30.9756
"153",128,36
"154",2.2137,46.2276
"155",113.4244,23.3417
"156",113.614,33.882
"157",120.0934,29.1832
"158",111.7088,27.6104
"159",117.2264,31.8257
"160",115.7221,27.614
"161",118.1498,36.3427
"162",119.455,32.9711
"163",107.874,30.0572
"164",102.7103,30.6171
"165",127.7615,47.862
"166",116.4142,40.1824
"167",121.4491,31.202
"168",116.1306,39.549
"169",117.9874,26.0789
"170",108.7881,23.8298
"171",108.8701,35.1917
"172",101.487,24.974
"173",109.7453,19.1959
"174",106.8748,26.8154
"175",117.323,39.3054
"176",112.2922,37.5777
"177",101.0583,37.8099
"178",114.2,22.3
"179",122.6085,41.2956
"180",126.1923,43.6661
"181",85.2401,41.1129
"182",113.9448,44.0935
"183",106.1655,37.2692
"184",121,23.7
"185",108,16
"186",95.9956,35.7452
"187",113.55,22.1667
"188",101,15
"189",138,36
"190",103.8333,1.2833
"191",84.25,28.1667
"192",112.5,2.5
"193",151.2093,-33.8688
"194",144.9631,-37.8136
"195",104.9167,11.55
"196",81,7
"197",9,51
"198",-85.3232,51.2538
"199",112.2707,30.9756
"200",128,36
"201",2.2137,46.2276
"202",113.4244,23.3417
"203",113.614,33.882
"204",120.0934,29.1832
"205",111.7088,27.6104
"206",117.2264,31.8257
"207",115.7221,27.614
"208",118.1498,36.3427
"209",119.455,32.9711
"210",107.874,30.0572
"211",102.7103,30.6171
"212",127.7615,47.862
"213",116.4142,40.1824
"214",121.4491,31.202
"215",116.1306,39.549
"216",117.9874,26.0789
"217",108.7881,23.8298
"218",108.8701,35.1917
"219",101.487,24.974
"220",109.7453,19.1959
"221",106.8748,26.8154
"222",117.323,39.3054
"223",112.2922,37.5777
"224",101.0583,37.8099
"225",114.2,22.3
"226",122.6085,41.2956
"227",126.1923,43.6661
"228",85.2401,41.1129
"229",113.9448,44.0935
"230",106.1655,37.2692
"231",121,23.7
"232",108,16
"233",95.9956,35.7452
"234",113.55,22.1667
"235",101,15
"236",138,36
"237",103.8333,1.2833
"238",84.25,28.1667
"239",112.5,2.5
"240",-123.1207,49.2827
"241",151.2093,-33.8688
"242",144.9631,-37.8136
"243",104.9167,11.55
"244",81,7
"245",9,51
"246",-85.3232,51.2538
"247",112.2707,30.9756
"248",128,36
"249",2.2137,46.2276
"250",113.4244,23.3417
"251",113.614,33.882
"252",120.0934,29.1832
"253",111.7088,27.6104
"254",117.2264,31.8257
"255",115.7221,27.614
"256",118.1498,36.3427
"257",119.455,32.9711
"258",107.874,30.0572
"259",102.7103,30.6171
"260",127.7615,47.862
"261",116.4142,40.1824
